FID,BoroCD,Shape_Leng,Shape_Area,population,Borough
45,101,73785.48372,42675031.99,34420 ,Manhattan
52,102,34910.33509,37723314.68,93119 ,Manhattan
53,103,30468.36769,46879342.64,164407 ,Manhattan
28,104,67941.13718,49292370.82,87479 ,Manhattan
29,105,35288.30488,43790297.59,44028 ,Manhattan
19,106,42672.56313,38728544.79,136152 ,Manhattan
66,107,39863.65107,53153431.33,207699 ,Manhattan
10,108,53561.20602,55168897.23,217063 ,Manhattan
65,109,34958.62649,41889837.86,111724 ,Manhattan
69,110,35825.2788,39084592.48,107109 ,Manhattan
67,111,59502.91169,66145984.65,117743 ,Manhattan
70,112,56219.19286,77968996.47,208414 ,Manhattan
68,164,32721.36118,38311722.06,central park,Manhattan
63,301,69142.27215,131756437.9,160338 ,Brooklyn
43,302,74179.91294,79329420.82,98620 ,Brooklyn
44,303,36213.69604,79461359.65,143867 ,Brooklyn
3,304,37008.10032,56663216.96,104358 ,Brooklyn
34,305,65109.21054,155482769.3,173198 ,Brooklyn
31,306,82115.2011,85496772.07,104054 ,Brooklyn
46,307,87424.46794,104141853.2,120063 ,Brooklyn
37,308,38229.60261,45592893.88,96076 ,Brooklyn
30,309,29944.47449,45326297.57,104014 ,Brooklyn
47,310,44795.66298,111317142.2,122542 ,Brooklyn
0,311,51549.55789,103177785.3,172129 ,Brooklyn
2,312,52245.83049,99525500.06,185046 ,Brooklyn
1,313,65821.99954,88195841.18,106120 ,Brooklyn
41,314,49291.79131,82175671.73,168806 ,Brooklyn
24,315,115288.5413,131643044.6,160319 ,Brooklyn
16,316,32997.57498,51768906.91,85343 ,Brooklyn
9,317,43326.85062,93810206.71,165753 ,Brooklyn
61,318,190125.3652,235716484.8,194653 ,Brooklyn
38,355,23963.45484,26143862.04,prospect park,Brooklyn
25,401,90037.84558,171549339.3,211220 ,Queens
64,402,71682.35105,139888636.6,109920 ,Queens
56,403,41785.13954,83488693.71,169083 ,Queens
11,404,37018.37345,65739662.02,167005 ,Queens
18,405,70005.25239,210395744.8,165911 ,Queens
20,406,42759.62267,82700250.46,115967 ,Queens
27,407,139179.72,328355328.9,242952 ,Queens
51,409,50803.58231,107421702.3,141608 ,Queens
39,410,105203.9635,171634376.2,127274 ,Queens
